,fips,date,cases,county,state,Combined_Key
0,13095,2020-04-18,0,Dougherty,Georgia,"Dougherty, Georgia, US"
16,13117,2020-04-18,2,Forsyth,Georgia,"Forsyth, Georgia, US"
4,13111,2020-04-18,0,Fannin,Georgia,"Fannin, Georgia, US"
12,13115,2020-04-18,2,Floyd,Georgia,"Floyd, Georgia, US"
8,13113,2020-04-18,0,Fayette,Georgia,"Fayette, Georgia, US"
17,13117,2020-04-19,2,Forsyth,Georgia,"Forsyth, Georgia, US"
13,13115,2020-04-19,1,Floyd,Georgia,"Floyd, Georgia, US"
9,13113,2020-04-19,0,Fayette,Georgia,"Fayette, Georgia, US"
5,13111,2020-04-19,0,Fannin,Georgia,"Fannin, Georgia, US"
1,13095,2020-04-19,0,Dougherty,Georgia,"Dougherty, Georgia, US"
6,13111,2020-04-20,0,Fannin,Georgia,"Fannin, Georgia, US"
18,13117,2020-04-20,2,Forsyth,Georgia,"Forsyth, Georgia, US"
10,13113,2020-04-20,0,Fayette,Georgia,"Fayette, Georgia, US"
14,13115,2020-04-20,2,Floyd,Georgia,"Floyd, Georgia, US"
2,13095,2020-04-20,0,Dougherty,Georgia,"Dougherty, Georgia, US"
11,13113,2020-04-21,0,Fayette,Georgia,"Fayette, Georgia, US"
3,13095,2020-04-21,0,Dougherty,Georgia,"Dougherty, Georgia, US"
15,13115,2020-04-21,3,Floyd,Georgia,"Floyd, Georgia, US"
7,13111,2020-04-21,0,Fannin,Georgia,"Fannin, Georgia, US"
19,13117,2020-04-21,2,Forsyth,Georgia,"Forsyth, Georgia, US"
